field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Solarwatt," 395W Classic H 2.0 PERC Bifacial, Full Black",Module,"1,708 x 1,134 x 30 mm",UK,Yes,0,15,15/12/2024 09:03:57,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/solarwatt-395w-classic-h-2-0-black,39.99,15
Viridian," 405W PV16-M10 Clearline Fusion In-Roof PERC Monofacial, All Black",Module,"1,722 x 1,134 x 70 mm",UK,Yes,0,105,15/12/2024 09:04:08,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/viridian-405w-clearline-fusion-m10,180.91,105
Trina Solar," 420W Vertex S PERC Monofacial, All Black",Module,"1,762 x 1,134 x 30 mm",UK,Yes,0,3,15/12/2024 09:04:18,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-vertex-s-420w-fb,29.99,3
DAS Solar," 430W N-Type Bifacial, Dual Glass, All Black",Module,"1,722 x 1,134 x 30 mm",UK,Yes,0,281,15/12/2024 09:04:27,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-430w-n-type-double-glass-bifacial-fb,41.74,281
DAS Solar," 435W N-Type Bifacial, Dual Glass, All Black",Module,"1,722 x 1,134 x 30 mm",UK,Yes,0,1,15/12/2024 09:04:38,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-435w-n-type-double-glass-bifacial-full-black,43.07,1
Canadian Solar, 435W TOPHiKu6 TOPCon Monofacial Black Frame,Module,"1,722 x 1,134 x 30 mm",UK,Yes,0,134,15/12/2024 09:04:48,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/canadian-solar-435-n-type-topcon-black-frame,39.99,134
Trina Solar," 440W Vertex S+ N-Type TOPCon Bifacial, Dual Glass, Black Frame",Module,"1,762 x 1,134 x 30 mm",UK,0,04/02/2025,0,15/12/2024 09:04:59,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-solar-vertex-s-440w-dual-glass-bifacial-bf,45.28,0
DAS Solar," 440W N-Type TOPCon Bifacial, Dual Glass, All Black",Module,"1,800 x 1,134 x 30 mm",UK,Yes,0,347,15/12/2024 09:05:09,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-440w-n-type-dual-glass-bifacial-fb,46.00,347
Trina Solar," 440W Vertex S+ N-Type TOPCon Monofacial, Dual Glass, All Black",Module,"1,762 x 1,134 x 30 mm",UK,Yes,0,6,15/12/2024 09:05:21,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-vertex-s-440w-dual-glass-n-type-fb,47.58,6
DAS Solar," 440W N-Type TOPCon Bifacial, Dual Glass, Black Frame",Module,"1,722 x 1,134 x 30 mm",UK,Yes,0,639,15/12/2024 09:05:34,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-440w-n-type-bifacial-double-glass-module-black-frame,41.43,639
Canadian Solar, 440W TOPHiKu6 TOPCon Monofacial Black Frame,Module,"1,722 x 1,134 x 30 mm",UK,Yes,0,5,15/12/2024 09:05:51,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/canadian-solar-440-n-type-topcon-black-frame,40.99,5
Trina Solar," 445W Vertex S+ N-Type TOPCon Monofacial, Dual Glass, All Black",Module,"1,762 x 1,134 x 30 mm",UK,Yes,0,1283,15/12/2024 09:06:03,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-vertex-s-445w-dual-glass-n-type-fb,47.09,1283
Trina Solar," 450W Vertex S+ N-Type TOPCon Monofacial, Dual Glass, All Black",Module,"1,762 x 1,134 x 30 mm",UK,0,04/02/2025,0,15/12/2024 09:06:14,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-vertex-s-450w-dual-glass-n-type-fb,47.61,0
Trina Solar," 450W Vertex S+ N-Type TOPCon Monofacial, Dual Glass, Black Frame",Module,"1,762 x 1,134 x 30 mm",UK,Yes,0,2961,15/12/2024 09:06:24,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-solar-450w-n-type-dual-glass-bf-wb,44.16,2961
DAS Solar," 450W N-Type TOPCon Bifacial, Dual Glass, Black Frame",Module,"1,800 x 1,134 x 30 mm",UK,Yes,0,923,15/12/2024 09:06:38,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-450w-n-type-dual-glass-bifacial-bf,41.50,923
Canadian Solar," 460W N-Type TOPCon Monofacial, Glass-Glass, Black Frame",Module,"1,800 x 1,134 x 30 mm",UK,Yes,0,77,15/12/2024 09:06:51,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/canadian-solar-460-n-type-topcon-monofacial-glass-glass-black-frame,44.99,77
Trina Solar," 500W Vertex S+ N-Type TOPCon Monofacial, Dual Glass, Black Frame",Module,"1,961 x 1,134 x 30 mm",UK,Yes,0,2932,15/12/2024 09:07:01,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/trina-vertex-s-500w-dual-glass-n-type-bf,47.05,2932
DAS Solar, 500W N Type Bifacial Double Glass Module Black Frame,Module,"1,994 x 1,134 x 30 mm",UK,Yes,0,125,15/12/2024 09:07:12,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-500w-n-type-bifacial-double-glass-bf,47.99,125
DAS Solar," 575W N-Type TOPCon Bifacial, Dual Glass, Silver Frame",Module,"2,278 x 1,134 x 30 mm",UK,Yes,0,17,15/12/2024 09:07:22,ESTG,https://www.alternergy.co.uk/products/solar-pv-panels/das-solar-575w-n-type-double-glass-bifacial-alu-frame,47.99,17
Growatt," MIC 750 TL-X 1 Ph Inverter, 1 MPPT, With DC And AFCI",Inverter,,UK,Yes,0,100,15/12/2024 09:08:13,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mic-750-tlx-1ph-dc,82.50,100
