field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
TRINA SOLAR,Trina Vertex S+ N-Type Dual Glass 440W - Triple-Cut 1500V All Black,Module, x 301762 x 1134,Netherlands,Yes,0,3958,27/10/2024 23:53:03,ESTG,https://www.estg.eu/en-gb/trina-vertex-s-ntype-dual-glass-440wtriplecut-1500v-all-black/,56.92,3958
TRINA SOLAR,Trina Vertex S+ N-Type Dual Glass 445W 1/3 cut 1500V All Black Solar Panel,Module, x 301762 x 1134,Netherlands,Yes,0,7703,27/10/2024 23:53:20,ESTG,https://www.estg.eu/en-gb/trina-vertex-s-ntype-dual-glass-445wtriplecut-1500v-all-black/,58.93,7703
TRINA SOLAR,Trina Vertex S+ N-Type Dual Glass 440W - Triple-Cut 1500V (Clear Black),Module, x 301762 x 1134,Netherlands,Yes,0,3281,27/10/2024 23:53:35,ESTG,https://www.estg.eu/en-gb/trina-vertex-s-ntype-dual-glass-440wtriplecut-1500v-clear-black/,56.63,3281
JINKO SOLAR,Jinko Solar N-Type Tiger Neo 440W Black Frame (MC4),Module, x 301762 x 1134,Netherlands,Yes,0,333,27/10/2024 23:53:45,ESTG,https://www.estg.eu/en-gb/jinko-solar-ntype-tiger-neo-440w-black-frame-mc4/,49.09,333
TRINA SOLAR,Trina Vertex S+ N-Type Dual Glass 450W - Triple-Cut 1500V (Black Frame),Module, x 301762 x 1134,Netherlands,Yes,0,3522,27/10/2024 23:53:55,ESTG,https://www.estg.eu/en-gb/trina-vertex-s-ntype-dual-glass-450wtriplecut-1500v-black-frame/,56.45,3522
JINKO SOLAR,Jinko Solar N-Type Tiger Neo 435W All Black (MC4),Module, x 301762 x 1134,Netherlands,Yes,0,1448,27/10/2024 23:54:06,ESTG,https://www.estg.eu/en-gb/jinko-solar-ntype-tiger-neo-435w-all-black-mc4/,53.89,1448
JINKO SOLAR,Jinko Solar N-Type Tiger Neo 440W All Black (MC4),Module, x 301762 x 1134,Netherlands,Yes,0,1347,27/10/2024 23:54:15,ESTG,https://www.estg.eu/en-gb/jinko-solar-ntype-tiger-neo-440w-all-black-mc4/,57.12,1347
JA SOLAR,JA Solar N-Type 450 W - Bifacial Double Glass (Black Frame),Module, x 301762 x 1134,Netherlands,Yes,0,1066,27/10/2024 23:54:24,ESTG,https://www.estg.eu/en-gb/ja-solar-ntype-450-wbifacial-double-glass-black-frame/,53.86,1066
JINKO SOLAR,Jinko Solar N-Type Tiger Neo 445W Black Frame (MC4),Module, x 301762 x 1134,Netherlands,Yes,0,895,27/10/2024 23:54:31,ESTG,https://www.estg.eu/en-gb/jinko-solar-ntype-tiger-neo-445w-black-frame-mc4/,51.17,895
TRINA SOLAR,Trina Vertex N Dual Glass MONO 505W Black Frame,Module, x 301961 x 1134,Netherlands,Yes,0,684,27/10/2024 23:54:41,ESTG,https://www.estg.eu/en-gb/trina-vertex-n-dual-glass-mono-505w-black-frame/,61.57,684
TRINA SOLAR,Trina Vertex S+ N-Type Dual Glass 445W - Triple-Cut 1500V (Clear Black),Module, x 301762 x 1134,Netherlands,Yes,0,4314,27/10/2024 23:54:51,ESTG,https://www.estg.eu/en-gb/trina-vertex-s-ntype-dual-glass-445wtriplecut-1500v-clear-black/,58.73,4314
TRINA SOLAR,Trina Vertex S+ N-Type Dual Glass 455W - Triple-Cut 1500V (Black Frame),Module, x 301762 x 1134,Netherlands,Yes,0,1424,27/10/2024 23:55:00,ESTG,https://www.estg.eu/en-gb/trina-vertex-s-ntype-dual-glass-455wtriplecut-1500v-black-frame/,58.76,1424
