field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Sonnenstromfabrik,Sonnenstromfabrik Excellent 325Wp Full Black GL/FOL,Module,0,Netherlands,0,0,0,15/12/2024 09:03:47,Hadec,https://hadec.nl/sonnenstromfabrik-mono-325wp-excellent-black.html,32.5,0
HRsolar,Qpanel PVT 370Wp panelen set - 8 panelen,Module,0,Netherlands,0,0,0,15/12/2024 09:03:47,Hadec,https://hadec.nl/qpanel-pvt-370wp-panelen-set-8-panelen.html,,0
HRsolar,Qpanel PVT 370Wp panelen set - 10 panelen,Module,0,Netherlands,0,0,0,15/12/2024 09:03:47,Hadec,https://hadec.nl/qpanel-pvt-370wp-panelen-set-10-panelen.html,,0
HRsolar,Qpanel PVT 370Wp panelen set - 12 panelen,Module,0,Netherlands,0,0,0,15/12/2024 09:03:47,Hadec,https://hadec.nl/qpanel-pvt-370wp-panelen-set-12-panelen.html,,0
HRsolar,Qsilence 370Wp PVT panelen set - 3 kW,Module,0,Netherlands,0,0,0,15/12/2024 09:03:47,Hadec,https://hadec.nl/qsilence-370wp-pvt-panelen-set-3-kw.html,,0
HRsolar,Qsilence 370Wp PVT panelen set - 4 kW,Module,0,Netherlands,0,0,0,15/12/2024 09:03:48,Hadec,https://hadec.nl/qsilence-370wp-pvt-panelen-set-4-kw.html,,0
HRsolar,Qsilence 370Wp PVT panelen set - 5 kW,Module,0,Netherlands,0,0,0,15/12/2024 09:03:48,Hadec,https://hadec.nl/qsilence-370wp-pvt-panelen-set-5-kw.html,,0
HRsolar,Qsilence 370Wp PVT panelen set - 6 kW,Module,0,Netherlands,0,0,0,15/12/2024 09:03:48,Hadec,https://hadec.nl/qsilence-370wp-pvt-panelen-set-6-kw.html,,0
Sonnenstromfabrik,Sonnenstromfabrik Mono 390Wp Excellent Full Black GL/FOL,Module,0,Netherlands,0,0,0,15/12/2024 09:03:49,Hadec,https://hadec.nl/sonnenstromfabrik-mono-390wp-excellent-black.html,39,0
Sonnenstromfabrik,Sonnenstromfabrik Mono 395Wp 'SAPPHIRE' Full Black GL/FOL,Module,0,Netherlands,0,0,0,15/12/2024 09:03:49,Hadec,https://hadec.nl/sonnenstromfabrik-mono-395wp-sapphire-full-black-gl-fol.html,39.5,0
