field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Trina Solar,TSM-705NEG21C.20 Vertex N,Module,0,0,0,1739894400.0,0,15/12/2024 09:03:45,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/63723/tsm-705neg21c.20-vertex-n?c=55,77.55,0
AXITEC,AXIbiperfect GXQ TS AC-700TGB/132TS,Module,0,0,Yes,0,4512,15/12/2024 09:03:45,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/55396/axibiperfect-gxq-ts-ac-700tgb/132ts?c=55,73.5,4512
Trina Solar,TSM-700NEG21C.20 Vertex N,Module,0,0,0,1739894400.0,0,15/12/2024 09:03:45,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59493/tsm-700neg21c.20-vertex-n?c=55,73.5,0
Trina Solar,TSM-615NEG19RC.20 Vertex N,Module,0,0,0,1739289600.0,0,15/12/2024 09:03:45,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/63179/tsm-615neg19rc.20-vertex-n?c=55,67.65,0
AXITEC,AXIbiperfect GQ TS AC-610TGB/132TS,Module,0,0,Yes,0,9300,15/12/2024 09:03:45,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60009/axibiperfect-gq-ts-ac-610tgb/132ts?c=55,64.05,9300
Trina Solar,TSM-610NEG19RC.20 Vertex N,Module,0,0,Yes,0,3599,15/12/2024 09:03:45,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60855/tsm-610neg19rc.20-vertex-n?c=55,67.1,3599
Trina Solar,TSM-610NEG19RC.20 Vertex N,Module,0,0,Yes,0,4135,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/63052/tsm-610neg19rc.20-vertex-n?c=55,67.1,4135
JA Solar,JAM66D45-610W/ LB,Module,0,0,Yes,0,4902,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/63607/jam66d45-610w/lb?c=55,73.2,4902
Trina Solar,TSM-605NEG19RC.20 Vertex N,Module,0,0,Yes,0,350,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/63347/tsm-605neg19rc.20-vertex-n?c=55,84.7,350
Trina Solar,TSM-600NEG19RC.20 Vertex N,Module,0,0,Yes,0,2827,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/54851/tsm-600neg19rc.20-vertex-n?c=55,63,2827
JA Solar,JAM72D40-590/LB,Module,0,0,Yes,0,1124,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59960/jam72d40-590/lb?c=55,64.9,1124
Longi,Hi-MO X6 Explorer LR5-72HTH-585M,Module,0,0,Yes,0,1015,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/58314/hi-mo-x6-explorer-lr5-72hth-585m?c=55,76.05,1015
AXITEC,AXIbiperfect GXXL TS AC-580TGB/144TS,Module,0,0,Yes,0,128,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59715/axibiperfect-gxxl-ts-ac-580tgb/144ts?c=55,60.9,128
JA Solar,JAM72S30-555/MR SF,Module,0,0,Yes,0,795,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/59959/jam72s30-555/mr-sf?c=55,63.83,795
JA Solar,JAM72S30-550/MR,Module,0,0,Yes,0,39,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/40332/jam72s30-550/mr?c=55,60.5,39
Trina Solar,TSM-505NEG18R.28 Vertex N,Module,0,0,Yes,0,2799,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/62545/tsm-505neg18r.28-vertex-n?c=55,60.6,2799
TW Solar,TWMND-60HS495W,Module,0,0,Yes,0,1262,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/61786/twmnd-60hs495w?c=55,51.98,1262
REC,REC460 ALPHA PURE-RX  Black / Gapless,Module,0,0,Yes,0,397,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/55942/rec460-alpha-pure-rx-black/gapless?c=55,188.6,397
AXITEC,AXIpremium XL HC AC-460MH/144V,Module,0,0,Yes,0,982,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/56842/axipremium-xl-hc-ac-460mh/144v?c=55,50.6,982
AXITEC,AXIbiperfect GR WB AC-460TGB/108WB,Module,0,0,Yes,0,3850,15/12/2024 09:03:46,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60421/axibiperfect-gr-wb-ac-460tgb/108wb?c=55,50.6,3850
AXITEC,AXIbiperfect GR WB AC-460TGB/108WB,Module,0,0,Yes,0,2886,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/62229/axibiperfect-gr-wb-ac-460tgb/108wb?c=55,50.6,2886
DAS Solar,DAS-DH108ND 455W Blackwhite Double glass,Module,0,0,Yes,0,12726,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60142/das-dh108nd-455w-blackwhite-double-glass?c=55,45.5,12726
Trina Solar,TSM-455NEG9R.28 Vertex S+,Module,0,0,Yes,0,14569,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60357/tsm-455neg9r.28-vertex-s?c=55,50.05,14569
AXITEC,AXIbiperfect GR WB AC-455TGB/108WB,Module,0,0,Yes,0,6754,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60417/axibiperfect-gr-wb-ac-455tgb/108wb?c=55,47.78,6754
JA Solar,JAM54D40-455/LB,Module,0,0,0,1736870400.0,0,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/64683/jam54d40-455/lb?c=55,54.6,0
JA Solar,JAM54D40-450/LB,Module,0,0,Yes,0,6981,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/55784/jam54d40-450/lb?c=55,49.5,6981
Trina Solar,TSM-450NEG9R.28 Vertex S+,Module,0,0,0,1738252800.0,0,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59555/tsm-450neg9r.28-vertex-s?c=55,45,0
DAS Solar,DAS-DH108ND 450W BlackPro Double glass,Module,0,0,Yes,0,2070,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60143/das-dh108nd-450w-blackpro-double-glass?c=55,47.25,2070
AXITEC,AXIbiperfect GR WB AC-450TGB/108WB,Module,0,0,Yes,0,5547,15/12/2024 09:03:47,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/61040/axibiperfect-gr-wb-ac-450tgb/108wb?c=55,49.5,5547
AXITEC,AXIbiperfect GR TB AC-450TGB/108TB,Module,0,0,Yes,0,1179,15/12/2024 09:03:48,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/61061/axibiperfect-gr-tb-ac-450tgb/108tb?c=55,45,1179
AXITEC,AXIbiperfect GL WB AC-450TGBL/108WB,Module,0,0,Yes,0,34736,15/12/2024 09:03:48,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/61744/axibiperfect-gl-wb-ac-450tgbl/108wb?c=55,49.5,34736
AXITEC,AXIperfect FL WB AC-450TFML/108WB,Module,0,0,Yes,0,10914,15/12/2024 09:03:48,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/modules/62659/axiperfect-fl-wb-ac-450tfml/108wb?c=55,47.25,10914
Trina Solar,TSM-445NEG9R.28 Vertex S+,Module,0,0,Yes,0,1289,15/12/2024 09:03:49,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/55125/tsm-445neg9r.28-vertex-s?c=55,42.28,1289
JA Solar,JAM54D40-445/LB,Module,0,0,Yes,0,972,15/12/2024 09:03:49,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/55873/jam54d40-445/lb?c=55,62.3,972
AXITEC,AXIbiperfect GL WB AC-445TGBL/108WB,Module,0,0,Yes,0,2455,15/12/2024 09:03:49,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59510/axibiperfect-gl-wb-ac-445tgbl/108wb?c=55,46.73,2455
AXITEC,AXIbiperfect GL WB AC-445TGBL/108WB,Module,0,0,Yes,0,2735,15/12/2024 09:03:49,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59656/axibiperfect-gl-wb-ac-445tgbl/108wb?c=55,46.73,2735
JA Solar,JAM54D41-445/LB,Module,0,0,Yes,0,14576,15/12/2024 09:03:49,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60727/jam54d41-445/lb?c=55,51.18,14576
TW Solar,TWMNH-48HD445,Module,0,0,Yes,0,12267,15/12/2024 09:03:50,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/60926/twmnh-48hd445?c=55,44.5,12267
Trina Solar,TSM-445NEG9RC.27/TC  Vertex S+,Module,0,0,Yes,0,392,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/61020/tsm-445neg9rc.27/tc-vertex-s?c=55,48.95,392
Trina Solar,TSM-445NEG9R.25 Vertex S+,Module,0,0,Yes,0,23653,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/61629/tsm-445neg9r.25-vertex-s?c=55,46.73,23653
Luxor Solar,ECO LINE N-TYPE GLAS-GLAS BIFACIAL M108/445W,Module,0,0,0,1736697600.0,0,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/64000/eco-line-n-type-glas-glas-bifacial-m108/445w?c=55,60.08,0
AXITEC,AXIblackbiperfect GL AC-445TGBL/108BB,Module,0,0,0,1738080000.0,0,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/65090/axiblackbiperfect-gl-ac-445tgbl/108bb?c=55,51.18,0
Trina Solar,TSM-440NEG9R.28 Vertex S+,Module,0,0,Yes,0,1,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/54787/tsm-440neg9r.28-vertex-s?c=55,50.6,1
DAS Solar,DAS-DH108NA 440W,Module,0,0,Yes,0,4953,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/55165/das-dh108na-440w?c=55,44,4953
TW Solar,TWMNH-48HD440,Module,0,0,Yes,0,1215,15/12/2024 09:03:51,Krannich,https://shop.krannich-solar.com/de-en/solar-modules/glas-glas-modules/59638/twmnh-48hd440?c=55,39.6,1215
