field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Aiko,Aiko 440Wp | All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/ak-a440-mah54mb-bk,50.16,69+
DMEGC,DMEGC 440Wp | All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/dm440m10rt-54hbb-bk,51.92,69+
Jinko,Jinko 440Wp | All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/jkm440n-54hl4r-bk,51.92,69+
Jinko,Jinko 435Wp | All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/jkm435n-54hl4r-bk,48.29,69+
JA,JA Solar 440Wp | Glass-Glass/All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/jam54d41-440n-lb-bk,53.24,69+
Aiko,Aiko 455Wp | Glass-Glass/All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/ak-a455-mah54db-bk,75.08,69+
DMEGC,DMEGC 450Wp | Glass-Glass/All Black,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:23,Libra,https://shop.libra.energy/en_GB/product/dm450m10rt-b54hbb-bk,58.05,69+
Jinko,Jinko 445Wp | Black-White,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:24,Libra,https://shop.libra.energy/en_GB/product/jkm445n-54hl4r-v-b-2,49.40,69+
BISOL,BISOL 305Wp | Terracotta-Terracotta,Module,0,Netherlands,Yes,0,547,15/12/2024 09:03:24,Libra,https://shop.libra.energy/en_GB/product/bdo-305m-terra,266.94,547
JA,JA Solar 580Wp | Glass-Glass/Silver-White,Module,0,Netherlands,Yes,0,69+,15/12/2024 09:03:35,Libra,https://shop.libra.energy/en_GB/product/jam66d42-580-mb,63.80,69+
