field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Jinko Solar,Jinko Solar 550W Bifacial - JKM550M-72HL4-BDVP SF,Module,2274x1134x35mm,Poland,Yes,0,1413,15/12/2024 09:03:53,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/916-jkm535m-72hl4-bdvp-bifacial-silver-frame.html,62.7,1413
Risen,Risen 410W Black Frame - RSM40-8-410M BF,Module,1754x1096x30mm,Poland,Yes,0,11,15/12/2024 09:03:56,Menlo,https://www.shop.menloelectric.com/en/risen/978-risen-rsm40-8-400m-black-frame.html,44.69,11
Risen,Risen 400W Full Black - RSM40-8-400MB FB,Module,1754x1096x30mm,Poland,Yes,0,5922,15/12/2024 09:03:58,Menlo,https://www.shop.menloelectric.com/en/risen/980-risen-rsm40-8-390m-full-black.html,34,5922
Risen,Risen 450W - RSM108-10-450BNDG,Module,,Poland,Yes,0,665,15/12/2024 09:04:00,Menlo,https://www.shop.menloelectric.com/en/risen/1523-risen-450w-rsm108-10-450bndg.html,55.8,665
Risen,Risen 435W - RSM108-9-435BNDG,Module, 1722x1134x30mm,Poland,Yes,0,1585,15/12/2024 09:04:02,Menlo,https://www.shop.menloelectric.com/en/risen/1525-risen-435w-rsm108-9-435bndg.html,53.94,1585
Jinko Solar,Jinko Solar 475W N-type - JKM475N-60HL4-V BF,Module,1903x1134x30mm,Poland,Yes,0,199,15/12/2024 09:04:04,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1022-jinko-solar-475w-n-type-jkm475n-60hl4-v-bf.html,56.52,199
Jinko Solar,Jinko Solar 430W Full Black - JKM430N-54HL4R-B FB,Module,1762x1134x30mm,Poland,Yes,0,18,15/12/2024 09:04:07,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1108-jkm420n-54hl4-v-black-frame.html,55.47,18
Jinko Solar,Jinko Solar 440W N-type - JKM440N-54HL4R-V BF,Module,1762x1134x30mm,Poland,Yes,0,63,15/12/2024 09:04:09,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1142-jinko-solar-jkm435n-54hl4r-v-bf.html,50.16,63
Jinko Solar,Jinko Solar 435W Full Black - JKM435N-54HL4R-B FB,Module,1762x1134x30mm,Poland,Yes,0,740,15/12/2024 09:04:11,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1144-jkm420n-54hl4-v-black-frame.html,58.29,740
Jinko Solar,Jinko Solar 580W Mono - JKM580N-72HL4-V SF,Module,2278x1134x35mm,Poland,Yes,0,40,15/12/2024 09:04:13,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1480-jkm565n-72hl4-v-silver-frame.html,69.02,40
Jinko Solar,Jinko Solar 435W Bifacial - JKM435N-54HL4R-BDV BF,Module,1762x1134x30mm,Poland,Yes,0,3,15/12/2024 09:04:15,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1521-jinko-solar-435w-black-frame-jkm435n-54hl4r-bdv-bf.html,51.77,3
Jinko Solar,Jinko Solar 430W Bifacial - JKM430N-54HL4R-BDV BF,Module,1762x1134x30mm,Poland,Yes,0,443,15/12/2024 09:04:17,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1605-jinko-solar-430w-bifacial-jkm430n-54hl4r-bdv-bf.html,40.85,443
Astronergy,Astronergy CHSM60N485(DG)F-HC BF,Module,1908x1134x30mm,Poland,0,0,0,15/12/2024 09:04:19,Menlo,https://www.shop.menloelectric.com/en/astronergy/1602-astronergy-chsm60n485dgf-hc-bf.html,40.74,0
Risen,Risen 415W Black Frame - RSM40-8-415M BF,Module,1754x1096x30mm,Poland,0,0,0,15/12/2024 09:04:21,Menlo,https://www.shop.menloelectric.com/en/risen/979-risen-rsm40-8-400m-black-frame.html,45.24,0
Jinko Solar,Jinko Solar 575W Bifacial - JKM575N-72HL4-BDV SF,Module,2278x1134x30mm,Poland,0,0,0,15/12/2024 09:04:23,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1028-jkm555n-72hl4-bdv-bifacial-silver-frame.html,71.3,0
Jinko Solar,Jinko Solar 480W N-type - JKM480N-60HL4-V BF,Module,1903x1134x30mm,Poland,0,0,0,15/12/2024 09:04:25,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1143-copy-of-jkm465n-60hl4-v-n-type-black-frame.html,54.72,0
Solar Panels,Tongwei 410W Black Frame - TW410MAP-108-H-S BF,Module, 1722x1134x30mm,Poland,0,0,0,15/12/2024 09:04:28,Menlo,https://www.shop.menloelectric.com/en/solar-panels/1524-tongwei-410w-black-frame-tw410map-108-h-s-bf.html,52.89,0
Jinko Solar,Jinko Solar 575W Mono - JKM575N-72HL4-V SF,Module,2278x1134x35mm,Poland,0,0,0,15/12/2024 09:04:30,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1221-jkm565n-72hl4-v-silver-frame.html,68.43,0
Jinko Solar,Jinko Solar 445W N-type - JKM445N-54HL4R-V BF,Module,1762x1134x30mm,Poland,0,0,0,15/12/2024 09:04:32,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1479-jinko-solar-jkm435n-54hl4r-v-bf.html,50.73,0
Jinko Solar,Jinko Solar 580W Bifacial - JKM580N-72HL4-BDV SF,Module,2278x1134x30mm,Poland,0,0,0,15/12/2024 09:04:34,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1481-jinko-solar-580w-bifacial-jkm580n-72hl4-bdv-sf.html,71.92,0
Jinko Solar,Jinko Solar 440W Black Frame - JKM440N-54HL4R-B FB,Module,1762x1134x30mm,Poland,0,0,0,15/12/2024 09:04:36,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1526-jinko-solar-440w-black-frame-jkm440n-54hl4r-b-fb.html,54.56,0
Jinko Solar,Jinko Solar 450W - JKM450N-54HL4R-V BF,Module,1762x1134x30mm,Poland,0,0,0,15/12/2024 09:04:39,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1527-jinko-solar-450w-jkm450n-54hl4r-v-bf.html,51.3,0
Jinko Solar,Jinko Solar 585W Mono - JKM585N-72HL4-V SF,Module,2278x1134x35mm,Poland,0,0,0,15/12/2024 09:04:41,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1528-jinko-solar-585w-mono-jkm585n-72hl4-v-sf.html,69.62,0
Jinko Solar,Jinko Solar 440W - JKM440N-54HL4R-BDV BF,Module,2278x1134x30mm,Poland,0,0,0,15/12/2024 09:04:44,Menlo,https://www.shop.menloelectric.com/en/jinko-solar/1530-jinko-solar-440w-jkm440n-54hl4r-bdv-bf.html,72.54,0
Solax,SolaX X1-0.6-S-D,Inverter,0,Poland,Yes,0,62,15/12/2024 09:04:55,Menlo,https://www.shop.menloelectric.com/en/solax/994-solax-x1-06-s-d.html,191.02,62
