field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
"


JA Solar

",JAM54D40-445/LB,Module,1762 x 1134 x 30,0,Yes,0,43569,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/JA-Solar/JAM54D40-445-LB_1-996001030,0,0
"


Jinko Solar

",JKM445N-54HL4R-V (Tiger Neo) BF,Module,1762 x 1134 x 30,0,Yes,0,18618,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/Jinko-Solar/JKM445N-54HL4R-V-Tiger-Neo-BF_1-996001075,0,0
"


JA Solar

",JAM60S21-365/MR,Module,1769 x 1052 x 30,0,Yes,0,5482,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/JA-Solar/JAM60S21-365-MR_1-996000354,0,0
"


Trina Solar

",TSM-440NEG9RC.27 Vertex S+,Module,1762 x 1134 x 30,0,Yes,0,5252,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/Trina-Solar/TSM-440NEG9RC-27-Vertex-S_1-996001093,0,0
"


JA Solar

",JAM60S20-385/MR black frame,Module,1769 x 1052 x 30,0,Yes,0,4559,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/JA-Solar/JAM60S20-385-MR-black-frame_1-996000411,0,0
"


Trina Solar

",TSM-450NEG9R.28 Vertex S+,Module,1762 x 1134 x 30,0,Yes,0,4478,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/Trina-Solar/TSM-450NEG9R-28-Vertex-S_1-996001105,0,0
"


JA Solar

",JAM54D41-440/LB,Module,1762 x 1134 x 30,0,Yes,0,4156,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/JA-Solar/JAM54D41-440-LB-_1-996001079,0,0
"


Trina Solar

",TSM-495NEG18R.28 Vertex S+,Module,1961 x 1134 x 30,0,Yes,0,3420,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/Trina-Solar/TSM-495NEG18R-28-Vertex-S_1-996001135,0,0
"


Jolywood

",JW-HD108N R3 445W FB bifacial,Module,1762 x 1134 x 30,0,Yes,0,2342,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/Jolywood/JW-HD108N-R3-445W-FB-bifacial_1-996001335,0,0
"


JA Solar

",JAM66D42-580/MB,Module,2278 x 1134 x 30,0,Yes,0,1800,15/12/2024 09:02:42,Pvxchange,https://www.pvxchange.com/Solar-Modules/JA-Solar/JAM66D42-580-MB_1-996001085,0,0
