field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Trina Solar,Honey M TSM-380DE08M.08(II) 380Wp BFR,Module,1763 x 1040 x 20,Germany,Yes,0,341,15/12/2024 09:02:35,SecondSol,https://www.secondsol.com/de/anzeige/34587,0,341
LONGI Solar,LR5-72HIBD-540M Hi-MO5 Mono Bi...,Module,2278 x 1134 x 32.6,Germany,Yes,0,62,15/12/2024 09:02:36,SecondSol,https://www.secondsol.com/de/anzeige/38699,59.00,62
Canadian Solar,CS6R-410MS HiKu6 Mono PERC BFR 410Wp,Module,1722 x 1134 x 21.3,Germany,Yes,0,1330,15/12/2024 09:02:36,SecondSol,https://www.secondsol.com/de/anzeige/39264,0,1330
SENEC,340M HC G2.1 S1-A2,Module,1692 x 1002 x 19.1,Germany,Yes,0,2015,15/12/2024 09:02:37,SecondSol,https://www.secondsol.com/de/anzeige/39868,51.00,2015
Heckert Solar,NeMo 3.0 120 M(A) 380 Watt- Ra...,Module,1790 x 1060 x 20.5,Germany,Yes,0,1440,15/12/2024 09:02:37,SecondSol,https://www.secondsol.com/de/anzeige/40525,64.00,1440
Heckert Solar,Heckert Solar NeMo 2.0 60M(A) ...,Module,1670 x 1006 x 18.3,Germany,Yes,0,1404,15/12/2024 09:02:38,SecondSol,https://www.secondsol.com/de/anzeige/40591,62.00,1404
JinkoSolar,Tiger Neo N-Type JKM420N-54HL4...,Module,1722 x 1134 x 22,Germany,Yes,0,648,15/12/2024 09:02:39,SecondSol,https://www.secondsol.com/de/anzeige/40716,54.00,648
Trina Solar,TSM-455-NEG9R.28 VERTEX S+ 2024,Module,1762 x 1134 x 21,Germany,Yes,0,936,15/12/2024 09:02:39,SecondSol,https://www.secondsol.com/de/anzeige/41523,50.00,936
Heckert Solar,Heckert Solar Zeus 1.0 440 Wp-...,Module,1762 x 1134 x 24.5,Germany,Yes,0,1089,15/12/2024 09:02:40,SecondSol,https://www.secondsol.com/de/anzeige/42612,76.00,1089
Heckert Solar,Heckert Solar Zeus 1.0 445 WP-...,Module,1762 x 1134 x 24.5,Germany,Yes,0,670,15/12/2024 09:02:40,SecondSol,https://www.secondsol.com/de/anzeige/42619,76.00,670
Heckert Solar,Heckert Solar NEMO 4.2 80M-400...,Module,1736 x 1122 x 21,Germany,Yes,0,700,15/12/2024 09:02:41,SecondSol,https://www.secondsol.com/de/anzeige/42623,86.00,700
Heckert Solar,Heckert Solar NEMO 4.2 80M--bl...,Module,1736 x 1122 x 21,Germany,Yes,0,600,15/12/2024 09:02:41,SecondSol,https://www.secondsol.com/de/anzeige/42630,84.00,600
OEM Produkte,405W full black,Module,1722 x 1134 x 20.5,Germany,Yes,0,1800,15/12/2024 09:02:42,SecondSol,https://www.secondsol.com/de/anzeige/42677,0,1800
Schott Solar,HELIOPOWER SP260 260Wp,Module,1605 x 1336 x 41,Germany,Yes,0,12,15/12/2024 09:02:42,SecondSol,https://www.secondsol.com/de/anzeige/22531,650.00,12
Sovello,SV-T-195-FC1G 195Wp,Module,1571 x 951 x 17.4,Germany,Yes,0,8,15/12/2024 09:02:43,SecondSol,https://www.secondsol.com/de/anzeige/830,444.00,8
Schott Solar,Schott Power Poly 245 Wp,Module,1652 x 990 x 20,Germany,Yes,0,50,15/12/2024 09:02:44,SecondSol,https://www.secondsol.com/de/anzeige/16161,0,50
Solarworld,SW 210,Module,1675 x 1001 x 22,Germany,Yes,0,26,15/12/2024 09:02:44,SecondSol,https://www.secondsol.com/de/anzeige/1653,420.00,26
Sovello,SV-L-225-FA1 225Wp,Module,1817 x 951 x 20.1,Germany,Yes,0,24,15/12/2024 09:02:45,SecondSol,https://www.secondsol.com/de/anzeige/1919,495.00,24
Sovello,SV-L-225-FA2,Module,1817 x 951 x 20.1,Germany,Yes,0,12,15/12/2024 09:02:45,SecondSol,https://www.secondsol.com/de/anzeige/1923,495.00,12
Sovello,SV-L-220-FA2 220 Wp,Module,1817 x 951 x 20.1,Germany,Yes,0,1,15/12/2024 09:02:46,SecondSol,https://www.secondsol.com/de/anzeige/1928,484.00,1
Solyndra,SL-001-165C 165Wp,Module,1820 x 1080 x 31,Germany,Yes,0,44,15/12/2024 09:02:47,SecondSol,https://www.secondsol.com/de/anzeige/2160,0,44
Sovello,SV-L-240-FA1 240Wp,Module,1817 x 951 x 20.1,Germany,Yes,0,10,15/12/2024 09:02:48,SecondSol,https://www.secondsol.com/de/anzeige/2256,528.00,10
MEREG,PE 105-16 105Wp,Module,1325 x 655 x 10.5,Germany,Yes,0,9,15/12/2024 09:02:48,SecondSol,https://www.secondsol.com/de/anzeige/2394,200.00,9
GPV,150P,Module,1200 x 1040 x 12,Germany,Yes,0,4,15/12/2024 09:02:48,SecondSol,https://www.secondsol.com/de/anzeige/2445,300.00,4
GPV,GPV 150P 12/24V,Module,1200 x 1040 x 12,Germany,Yes,0,1,15/12/2024 09:02:49,SecondSol,https://www.secondsol.com/de/anzeige/2446,250.00,1
Sovello,SV-T-185-FC1 185Wp,Module,1571 x 951 x 17.4,Germany,Yes,0,19,15/12/2024 09:02:54,SecondSol,https://www.secondsol.com/de/anzeige/2466,407.00,19
Sovello,SV-L-235-FA1 235Wp,Module,1817 x 951 x 20.1,Germany,Yes,0,10,15/12/2024 09:02:54,SecondSol,https://www.secondsol.com/de/anzeige/2467,517.00,10
Sovello,SV-T-195-FC1C 195Wp,Module,1571 x 951 x 17.4,Germany,Yes,0,6,15/12/2024 09:02:55,SecondSol,https://www.secondsol.com/de/anzeige/2469,429.00,6
Photowatt,PW 1400 - 24V,Module,1237 x 1082 x 18,Germany,Yes,0,33,15/12/2024 09:02:56,SecondSol,https://www.secondsol.com/de/anzeige/2950,400.00,33
Sunowe,SF125x125-72-M 165Wp,Module,1580 x 808 x 16,Germany,Yes,0,7,15/12/2024 09:02:56,SecondSol,https://www.secondsol.com/de/anzeige/3059,0,7
Conergy,Profiline 154 Wp,Module,1310 x 969 x 16.5,Germany,Yes,0,80,15/12/2024 09:02:57,SecondSol,https://www.secondsol.com/de/anzeige/6957,0,80
Sovello,SV-L-225-FA1 225Wp,Module,1817 x 951 x 20.1,Germany,Yes,0,3,15/12/2024 09:02:57,SecondSol,https://www.secondsol.com/de/anzeige/3602,495.00,3
