field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Longi,405W Mono All Black HPBC Half-Cell,Module, x  x ,Netherlands,Yes,0,10,15/12/2024 09:05:01,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-LR5-54HIB-405M,31.09 ,10
JA Solar,420W Mono PERC Half-Cell MBB LR (zwart frame),Module, x  x ,Netherlands,Yes,0,19,15/12/2024 09:05:05,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54S-30-420-LR-BF,34.02 ,19
JA Solar,420W Mono MBB PERC LR Half-Cell All Black MC4,Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,25,15/12/2024 09:05:12,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54S-31-420-LR-AB,38.08 ,25
JA Solar,420W Mono MBB PERC Half-Cell All Black MC4,Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,16,15/12/2024 09:05:20,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54S-31-420-LR-TS-AB,38.08 ,16
JA Solar,435W N-Typ Bifacial Dubbele Beglazing Mono LB MC4 (Zwart Frame),Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,2,15/12/2024 09:05:25,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-40-435-LB-MC4,39.67 ,2
JA Solar,430W N-Typ Bifacial All Black MC4,Module,"1,722 x 1,134 x 30 mm",Netherlands,Yes,0,419,15/12/2024 09:05:32,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-41-430-GB-AB-MC4,42.40 ,419
JA Solar,430W n-type Bifacial dobbele beglazing LB All Black met MC4,Module, x  x ,Netherlands,Yes,0,294,15/12/2024 09:05:40,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-41-430-LB-AB-MC4,42.40 ,294
Trina,435W Vertex S+ / N-Type i-TOPCon Dubbel Glas Wit (Zwart Frame),Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,8,15/12/2024 09:05:48,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-TSM72-435-DGW-BF,44.54 ,8
JA Solar,435W N-Typ Bifacial AB MC4,Module, x  x ,Netherlands,Yes,0,"1,096",15/12/2024 09:05:55,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-41-435-GB-AB-MC4,44.57 ,"1,096"
Jinko,435W Tiger Neo 54 dubbel glas Bifaciaal All Black,Module, x  x ,Netherlands,Yes,0,"1,283",15/12/2024 09:06:03,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JKM435N-54HL4R-BDB,46.70 ,"1,283"
Jinko,Tiger Neo 435W All Black TOPCon N-Type Mono,Module, x  x ,Netherlands,Yes,0,"2,249",15/12/2024 09:06:08,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JKM435N-54HL4R-B,47.36 ,"2,249"
JA Solar,445W n-type Bifaciaal dubbel glas LB met MC4 (zwart frame),Module, x  x ,Netherlands,Yes,0,383,15/12/2024 09:06:13,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-40-445-LB-TS-MC4,48.66 ,383
JA Solar,450W n-type Bifaciaal dubbel glas LB met MC4 (zwart frame),Module, x  x ,Netherlands,Yes,0,"2,497",15/12/2024 09:06:19,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-40-450-LB-TS-MC4,49.92 ,"2,497"
JA Solar,440W n-type Bifaciaal dubbel glas LB All Black met MC4,Module, x  x ,Netherlands,Yes,0,"3,251",15/12/2024 09:06:24,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-41-440-LB-TS-AB-MC4,50.36 ,"3,251"
Jinko,Tiger Neo 440W All Black TOPCon N-Type Mono,Module, x  x ,Netherlands,Yes,0,"1,609",15/12/2024 09:06:29,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JKM440N-54HL4R-B,50.50 ,"1,609"
Jinko,440W Tiger Neo 54 dubbel glas bifacial All Black,Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,309,15/12/2024 09:06:35,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JKM440N-54HL4R-BDB,51.17 ,309
JA Solar,445W n-type Bifaciaal dubbel glas LB All Black met MC4,Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,"2,735",15/12/2024 09:06:42,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM54D-41-445-LB-TS-AB-MC4,52.65 ,"2,735"
Trina,440W Vertex-S+ N-Type i-TOPCon Dubbele Beglazing Transparent Zwart,Module,"1,762 x 1,134 x 30 mm",Netherlands,Yes,0,"1,706",15/12/2024 09:06:50,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-TSM72-440-DGT-BF,52.80 ,"1,706"
Trina,450W Vertex S+ / N-Type i-TOPCon Dubbel Glas Wit (Zwart Frame),Module, x  x ,Netherlands,Yes,0,13,15/12/2024 09:06:59,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-TSM72-450-DGW-BF,54.19 ,13
Trina,455W Vertex S+ / N-Type i-TOPCon Dubbel Glas Wit (Zwart Frame),Module, x  x ,Netherlands,Yes,0,"1,589",15/12/2024 09:07:05,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-TSM72-455-DGW-BF,54.99 ,"1,589"
Jinko,Tiger Neo 480Wp N-Type Mono (zwarte frame),Module, x  x ,Netherlands,Yes,0,299,15/12/2024 09:07:10,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JKM480N-60HL4-V-BF-JK03M,55.99 ,299
Longi,435W Hi-MO6 Explorer HPBC Halfcellen All Black,Module,"1,722 x 1,134 x 30 mm",Netherlands,Yes,0,9,15/12/2024 09:07:14,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-LR5-54HTB-435M,62.01 ,9
Aiko,"Aiko Neostar 2P 465W N-Type ABC, 54 Cel, enkel glas zwart frame, Gen 2",Module,"1,757 x 1,134 x 30 mm",Netherlands,Yes,0,"1,868",15/12/2024 09:07:19,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-AIK-A-MAH54-465-BF-G2,62.79 ,"1,868"
JA Solar,595W n-type Bifacial Dubbelglas halfcellen MBB LB MC4,Module,"2,333 x 1,134 x 30 mm",Netherlands,Yes,0,3,15/12/2024 09:07:26,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-JAM72D-40-595-LB-TS-MC4,62.90 ,3
Aiko,"Aiko Neostar 2P 470W N-Type ABC, 54 Cel, enkel glas zwart frame, Gen 2",Module,"1,757 x 1,134 x 30 mm",Netherlands,0,0,0,15/12/2024 09:07:31,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-AIK-A-MAH54-470-BF-G2,66.07 ,0
Aiko,"Aiko Neostar 2S 455W N-Type ABC, 54 Cell, Glas/Folie All Black, Gen 2",Module,"1,757 x 1,134 x 30 mm",Netherlands,Yes,0,594,15/12/2024 09:07:39,Segen Solar,https://portal.segensolar.nl/nav/pv/Module/-part-AIK-A-MAH54-455-AB-G2,69.33 ,594
